(67.60,-72.24)
(-28.48,4.18)
(-99.05,-18.47)
(80.94,-87.02)
(-93.66,-8.37)
(-22.66,-58.40)
(-60.57,-71.84)
(92.35,41.75)
(36.09,5.14)
(-6.87,25.82)
(-34.47,-29.80)
(20.60,-97.75)
(21.38,32.82)
(-44.21,-69.20)
(-24.94,73.43)
(-61.61,87.21)
(-8.62,-20.14)
(61.40,9.91)
(60.10,-7.67)
(-78.84,42.33)
(-78.87,66.45)
(-68.19,35.72)
(14.67,-39.44)
(65.70,-75.85)
(87.18,-49.25)
(20.95,-41.17)
(-1.71,-47.29)
(-77.27,-58.46)
(-27.66,-43.13)
(-32.50,-21.48)
(-34.28,84.61)
(-35.53,5.89)
(-84.21,94.31)
(23.84,-36.93)
(-57.40,-86.90)
(-83.25,45.00)
(17.92,-36.27)
(61.50,-51.44)
(9.92,-67.42)
(-16.66,64.40)
(-39.57,-2.90)
(87.02,-58.51)
(20.25,58.72)
(-47.21,-90.26)
(25.47,-70.21)
(-85.60,20.29)
(-73.83,-71.61)
(-77.31,16.08)
(79.15,-20.82)
(-7.72,46.53)
